Year,Name,Link,Metrics,Venue,Human evaluation framework,Axes,sample #,annotator #,Significance test,Annotator agreement
2017,Context-Aware Captions From Context-Agnostic Supervision,Context-Aware Captions From Context-Agnostic Supervision,"METEOR, CIDEr",CVPR 2017,retrieval,,,,no,no
2017,StyleNet: Generating Attractive Visual Captions With Styles,StyleNet: Generating Attractive Visual Captions With Styles,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,comparative,attractiveness,,,no,no
2017,Deep Reinforcement Learning-Based Image Captioning With Embedding Reward,Deep Reinforcement Learning-Based Image Captioning With Embedding Reward,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,,,,,,
2017,Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning,Knowing When to Look: Adaptive Attention via a Visual Sentinel for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2017,,,,,,
2017,Attend to You: Personalized Image Captioning With Context Sequence Memory Networks,Attend to You: Personalized Image Captioning With Context Sequence Memory Networks,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,comparative,relevancy,,3,no,no
2017,Dense Captioning With Joint Inference and Visual Context,Dense Captioning With Joint Inference and Visual Context,,CVPR 2017,,,,,,
2017,Semantic Compositional Networks for Visual Captioning,Semantic Compositional Networks for Visual Captioning,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,,,,,,
2017,SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,SCA-CNN: Spatial and Channel-Wise Attention in Convolutional Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,,,,,,
2017,Captioning Images With Diverse Objects,Captioning Images With Diverse Objects,"METEOR, Object PR",CVPR 2017,comparative,"incorporates the object label meaningfully in the description, describes the image better",,3,no,no
2017,Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,Incorporating Copying Mechanism in Image Captioning for Learning Novel Objects,"METEOR, Object PR",CVPR 2017,,,,,,
2017,Bidirectional Beam Search: Forward-Backward Inference in Neural Sequence Models for Fill-In-The-Blank Image Captioning,Bidirectional Beam Search: Forward-Backward Inference in Neural Sequence Models for Fill-In-The-Blank Image Captioning,"BLEU, METEOR, CIDEr",CVPR 2017,,,,,,
2017,Self-Critical Sequence Training for Image Captioning,Self-Critical Sequence Training for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,,,,,,
2017,Skeleton Key: Image Captioning by Skeleton-Attribute Decomposition,Skeleton Key: Image Captioning by Skeleton-Attribute Decomposition,"BLEU, METEOR, ROUGE, CIDEr, SPICE, unique",CVPR 2017,,,,,,
2017,Generating Descriptions With Grounded and Co-Referenced People,Generating Descriptions With Grounded and Co-Referenced People,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2017,comparative,,,,no,no
2017,Contrastive Learning for Image Captioning,Contrastive Learning for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, retrieval",Neurips 2017,,,,,,
2017,Diverse and Accurate Image Description Using a Variational Auto-Encoder with an Additive Gaussian Encoding Space,Diverse and Accurate Image Description Using a Variational Auto-Encoder with an Additive Gaussian Encoding Space,"BLEU, METEOR, ROUGE, CIDEr, SPICE, unique, novel",Neurips 2017,,,,,,
2017,Attention Correctness in Neural Image Captioning,Attention Correctness in Neural Image Captioning,"BLEU, METEOR",AAAI 2017,,,,,,
2017,Reference Based LSTM for Image Captioning,Reference Based LSTM for Image Captioning - AAAI,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2017,,,,,,
2017,Image Caption with Global-Local Attention,Image Caption with Global-Local Attention,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2017,,,,,,
2017,Text-Guided Attention Model for Image Captioning,Text-Guided Attention Model for Image Captioning - AAAI,"BLEU, METEOR, CIDEr",AAAI 2017,,,,,,
2016,Deep Compositional Captioning: Describing Novel Object Categories Without Paired Training Data,Deep Compositional Captioning: Describing Novel Object Categories Without Paired Training Data,"BLEU, METEOR, Word PR",CVPR 2016,,,,,,
2016,DenseCap: Fully Convolutional Localization Networks for Dense Captioning,DenseCap: Fully Convolutional Localization Networks for Dense Captioning,"METEOR, retrieval",CVPR 2016,,,,,,
2016,Image Captioning With Semantic Attention,Image Captioning With Semantic Attention,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2016,,,,,,
2016,Review Networks for Caption Generation,Review Networks for Caption Generation,"BLEU, METEOR, ROUGE, CIDEr",Neurips 2016,,,,,,
2016,"Variational Autoencoder for Deep Learning of Images, Labels and Captions","Variational Autoencoder for Deep Learning of Images, Labels and Captions","BLEU, METEOR, CIDEr, perplexity",Neurips 2016,,,,,,
2016,Empirical performance upper bounds for image and video captioning,Empirical performance upper bounds for image and video captioning | OpenReview,"BLEU, METEOR, CIDEr",ICLR 2016,,,,,,
2016,SentiCap: Generating Image Descriptions with Sentiments,SentiCap: Generating Image Descriptions with Sentiments - AAAI,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2016,comparative,,,,no,no
2015,Language Models for Image Captioning: The Quirks and What Works,Language Models for Image Captioning: The Quirks and What Works - ACL Anthology,"BLEU, METEOR, perplexity",ACL 2015,comparative,,,,no,no
2015,A Distributed Representation Based Query Expansion Approach for Image Captioning,A Distributed Representation Based Query Expansion Approach for Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr",ACL 2015,scale rating,relevancy,100,,no,no
2015,Déjà Image-Captions: A Corpus of Expressive Descriptions in Repetition,Déjà Image-Captions: A Corpus of Expressive Descriptions in Repetition - ACL Anthology,"BLEU, METEOR",NAACL 2015,comparative,relevance to image,200,3,no,no
2015,Guiding the Long-Short Term Memory Model for Image Caption Generation,Guiding the Long-Short Term Memory Model for Image Caption Generation,"BLEU, METEOR, CIDEr",ICCV 2015,,,,,,
2015,Common Subspace for Model and Similarity: Phrase Learning for Caption Generation From Images,Common Subspace for Model and Similarity: Phrase Learning for Caption Generation From Images,"BLEU, METEOR, NIST",ICCV 2015,,,,,,
2015,Visual Madlibs: Fill in the Blank Description Generation and Question Answering,Visual Madlibs: Fill in the Blank Description Generation and Question Answering,BLEU,ICCV 2015,,,,,,
2015,Mind's Eye: A Recurrent Visual Representation for Image Caption Generation,Mind's Eye: A Recurrent Visual Representation for Image Caption Generation,"BLEU, METEOR, CIDEr, perplexity, retrieval",CVPR 2015,comparative,,,,no,no
2015,Show and Tell: A Neural Image Caption Generator,Show and Tell: A Neural Image Caption Generator,"BLEU, METEOR, CIDEr, retrieval",CVPR 2015,scale rating,,,,no,no
2015,From Captions to Visual Concepts and Back,From Captions to Visual Concepts and Back,"BLEU, METEOR, ROUGE, CIDEr, perplexity",CVPR 2015,comparative,,,,yes,no
2015,Long-Term Recurrent Convolutional Networks for Visual Recognition and Description,Long-Term Recurrent Convolutional Networks for Visual Recognition and Description,"BLEU, retrieval",CVPR 2015,scale rating,"correctness, grammar, relevance",785,,no,no
2015,Deep Visual-Semantic Alignments for Generating Image Descriptions,Deep Visual-Semantic Alignments for Generating Image Descriptions,"BLEU, METEOR, CIDEr, retrieval",CVPR 2015,,,,,,
2015,"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention","Show, Attend and Tell: Neural Image Caption Generation with Visual Attention","BLEU, METEOR",ICML 2015,,,,,,
2015,Phrase-based Image Captioning,Phrase-based Image Captioning,BLEU,ICML 2015,,,,,,
2015,Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN),[1412.6632] Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN),"BLEU, METEOR, ROUGE, CIDEr, perplexity, retrieval",ICLR 2015,,,,,,
2014,Nonparametric Method for Data-driven Image Captioning,Nonparametric Method for Data-driven Image Captioning - ACL Anthology,BLEU,ACL 2014,scale rating,,,,no,no
2014,Domain-Specific Image Captioning,Domain-Specific Image Captioning - ACL Anthology,"BLEU, ROUGE",CONLL 2014,yes/no questions,,553,6,yes,no
2014,"See No Evil, Say No Evil: Description Generation from Densely Labeled Images","See No Evil, Say No Evil: Description Generation from Densely Labeled Images - ACL Anthology",BLEU,*SEM 2014,comparative,"grammaticality, truthfulness, salience",,6,no,yes
2014,TreeTalk: Composition and Compression of Trees for Image Descriptions,TreeTalk: Composition and Compression of Trees for Image Descriptions - ACL Anthology,"BLEU, METEOR",TACL 2014,comparative,"relevance, grammar, overall",,3,yes,yes
2013,Generalizing Image Captions for Image-Text Parallel Corpus,Generalizing Image Captions for Image-Text Parallel Corpus - ACL Anthology,BLEU,ACL 2013,comparative,which is better,,,no,no
2013,Image Description using Visual Dependency Representations,Image Description using Visual Dependency Representations - ACL Anthology,BLEU,EMNLP 2013,scale rating,"grammaticality, action description, scene description",101,,yes,no
2012,Collective Generation of Natural Image Descriptions,Collective Generation of Natural Image Descriptions - ACL Anthology,BLEU,ACL 2012,"comparative, scale rating",which is better,,,no,no
2012,Midge: Generating Image Descriptions From Computer Vision Detections,Midge: Generating Image Descriptions From Computer Vision Detections - ACL Anthology,,EACL 2012,scale rating,"grammaticality, main aspects description, correctness, order, humanlikeness",840,,yes,no
2011,Composing Simple Image Descriptions using Web-scale N-grams,Composing Simple Image Descriptions using Web-scale N-grams - ACL Anthology,BLEU,CONLL 2011,scale rating,"creativity, fluency, relevance",120,,no,no
2011,Im2Text: Describing Images Using 1 Million Captioned Photographs,Im2Text: Describing Images Using 1 Million Captioned Photographs,BLEU,Neurips 2011,retrieval,,100,,no,no
2010,How Many Words Is a Picture Worth? Automatic Caption Generation for News Images,How Many Words Is a Picture Worth? Automatic Caption Generation for News Images - ACL Anthology,TER,ACL 2010,scale rating,"grammaticality, relevance",12,23,yes,no
2010,Generating Image Descriptions Using Dependency Relational Patterns,Generating Image Descriptions Using Dependency Relational Patterns - ACL Anthology,ROUGE,ACL 2010,scale rating,"clarity, focus, coherence, redundancy, grammar",315,4,no,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Ignored papers that:,,,,,,,,,
,"- Discuss non-image captioning (videos, charts, etc.)",,,,,,,,,
,- Used metrics on non-English data,,,,,,,,,
,,,,,,,,,,
,I ignored metrics that only appear in the appendix,,,,,,,,,
,I only considered papers that conducted an experiment on image captioning,,,,,,,,,
,"I ignored metrics that use/evaluate anything other than the caption and image (e.g., the location of grounding objects as in F1all and F1 loc from the paper ""Grounded video description."")",,,,,,,,,
